系統,サークル名,活動概要,公式HP,X,Instagram,Facebook,YouTube
体育系,軟式庭球,平日夕方を中心に川内庭球場で活動。初心者から経験者まで歓迎し、北医体男子団体準優勝・個人入賞者多数。,http://tmsottennis.starfree.jp/,@thkmed_tennis,@thkmed_softtennis,,
体育系,硬式庭球,東医体・看学戦の優勝を目標に日々練習。部活概要、活動内容、部員紹介、結果や写真を公式サイトで公開。,https://sites.google.com/view/tohoku-medtennis/home,@tohokutennis_m,@tohokumed_tennis,,
体育系,卓球,医学科・保健学科を中心に日々練習。東医体優勝を目標に、東北リーグや東医体、他大との定期戦、BBQ・芋煮会などの行事も実施。,https://tohoku-med-ttc.wweb.jp/,@tonpeimedttc,@tohoku_med_tabletennis,,
体育系,バドミントン,星陵体育館で週4回練習。各学科・専攻の学生が所属し、北医体・東医体・北保体などの大会参加や部内イベントを行う。,https://mdbd.web.fc2.com/,@tohoku_medbad,@tohoku_medbad,,https://www.youtube.com/@tohokuuniv_medical_badminton
体育系,柔道,医学部柔道サークル。公式XとInstagramでの情報発信を確認。,,@igakubujudo,tohoku.med.judo,,
体育系,剣道,医・歯学部中心に週3回練習。公式戦や定期戦のほか、BBQや芋煮会などの行事も実施。初心者・経験者・マネージャー歓迎。,https://thkiken.jimdofree.com/,@thishiken,@tohoku.ishiken,,
体育系,弓道,弓道部として試合結果速報、試合・行事予定、部員名簿などを公式サイトで公開。,https://tohokumedkyudo.web.fc2.com/,@sokyu1964,@tokoku_ikyu,,
体育系,スキー,アルペンとクロスカントリーに取り組み、春〜秋はプラスノー・ローラースキー・ラン等、冬は合宿や日帰りでスキー場トレーニング。,https://sites.google.com/tohoku-iski.org/tohoku-iski,@tohoku_iski,@tohoku_i_ski2024,,
体育系,ヨット,東医体・北医体・医科歯科大会などに参加。公式サイトで試合結果、メンバー、選手ブログ・マネブログを公開。,https://www.yacht.stc.med.tohoku.ac.jp/,@tohoku_yacht_r5,@tohokumedyacht2024,,
体育系,ボート,ローイング競技の部。選手は週2日〜、マネージャーは月1日〜参加可能。試乗会や各種イベントも実施し、試合結果・新歓情報を公開。,https://tohokumedboat.com/index.html,@med_boat,@tohokuuniv_med_boat,,https://www.youtube.com/@tohokumedboat
体育系,ワンデルング,主に週末、月1〜2回ほど活動する自由参加の登山サークル。宮城県内や東北の山々を中心に、夏合宿なども実施。,,@wanderu_med,@tmed_wanderung,,
体育系,ゴルフ,週1回木曜に宮城ゴルフガーデンで練習。初心者歓迎・自由参加で、東医体、北医体、五大戦、交流戦、部内コンペなどに参加。,,@tohoku_med_golf,@tohoku_med_golf,,
体育系,フットサル,初心者・男女問わず歓迎。主に週1回の活動で兼部しやすく、川内フットサルコート等で練習。活動予定や成績を公式HPで公開。,https://tmedf.web.fc2.com/,@tohokumedfutsal,@tohoku.med.futsal_2024,,
体育系,ハンドボール,北医体・東医体での好成績を目標に日々練習。医学科・保健学科・歯学部・薬学部の学生が所属し、初心者やマネージャーも歓迎。,https://tohuhokumedhand.masa-mune.jp/,@tohoku_med_hand,@tohoku_med_hand,,
体育系,バーベルクラブ,公開Web上で活動詳細・SNS・HPを確認しきれず。,,,,,
